names,NRIC,medications,item_code,time,quantity,Date
"Pham, Deesta",S69663247I,Amlodipine_5mg,ITMN_4494JW, 09:00:00,40,10/15/20
"Poonpiset, Mario",S78945098Q,Amlodipine_5mg,ITMN_4494JW, 13:45:00,30,10/16/20
"Som, Mreenal",S80563053I,Amlodipine_5mg,ITMN_4494JW, 13:15:00,100,10/16/20
"Guo, Rachel",S26141562V,Amlodipine_5mg,ITMN_4494JW, 15:30:00,200,10/18/20
"Baker, Anna Liza",S28627406Y,Amlodipine_5mg,ITMN_4494JW, 10:00:00,50,10/20/20
"Ho, Varun",S80963100E,Amlodipine_5mg,ITMN_4494JW, 14:15:00,200,10/21/20
"Hritsick, Pa Houa",S36214565D,Amlodipine_5mg,ITMN_4494JW, 10:45:00,100,10/21/20
"Headlee, Naomi",S84796988O,Amlodipine_5mg,ITMN_4494JW, 13:30:00,40,10/21/20
"Joh, Ji Young",S25802001G,Amlodipine_5mg,ITMN_4494JW, 09:45:00,50,10/22/20
"Lamczyk, Brandon",S54944414T,Amlodipine_5mg,ITMN_4494JW, 12:00:00,50,10/22/20
"Yang, Haasini",S10415031X,Amlodipine_5mg,ITMN_4494JW, 09:45:00,40,10/23/20
"Roy, Sheila",S73561644C,Amlodipine_5mg,ITMN_4494JW, 11:15:00,30,10/24/20
"Frye, Joseph",S83273665V,Amlodipine_5mg,ITMN_4494JW, 12:45:00,200,10/24/20
"Gilbert, Melvin",S57954827G,Amlodipine_5mg,ITMN_4494JW, 15:30:00,50,10/24/20
"Li, Deepak",S60495426R,Amlodipine_5mg,ITMN_4494JW, 11:00:00,30,10/25/20
"Cohen, K'Lei",S54092092M,Amlodipine_5mg,ITMN_4494JW, 10:15:00,50,10/25/20
"Adhikari, Tung",S99548519Z,Amlodipine_5mg,ITMN_4494JW, 14:45:00,100,10/26/20
"Carter, Sofya",S17104685S,Amlodipine_5mg,ITMN_4494JW, 14:00:00,40,10/26/20
"Bhattacharya, Ariadne",S45905483E,Amlodipine_5mg,ITMN_4494JW, 14:00:00,200,10/26/20
"Yang, Carolyn",S93431422D,Amlodipine_5mg,ITMN_4494JW, 14:30:00,30,9/27/20
"La, Brittany",S89222673G,Amlodipine_5mg,ITMN_4494JW, 13:15:00,30,9/27/20
"Nguyen, Bayarjargal",S19771107R,Amlodipine_5mg,ITMN_4494JW, 13:00:00,50,9/27/20
"Taei, Julian",S83652656C,Amlodipine_5mg,ITMN_4494JW, 13:00:00,30,9/28/20
"Oh, Amy",S60009355A,Amlodipine_5mg,ITMN_4494JW, 11:45:00,100,9/28/20
"Josiah, Edward",S11963595Q,Amlodipine_5mg,ITMN_4494JW, 10:30:00,40,9/29/20
"Ng, Karthik",S47350842P,Amlodipine_5mg,ITMN_4494JW, 15:30:00,100,9/29/20
"Nguyen, Sean",S41315906F,Amlodipine_5mg,ITMN_4494JW, 13:30:00,30,9/29/20
"Cantu, Lehao",S70725414F,Amlodipine_5mg,ITMN_4494JW, 12:45:00,40,10/1/20
"Lastrella, Irene",S90374590S,Amlodipine_5mg,ITMN_4494JW, 12:00:00,30,10/1/20
"Doan, Harry",S66591879K,Amlodipine_5mg,ITMN_4494JW, 16:45:00,30,10/1/20
"Lor, Kayla",S50994272O,Amlodipine_5mg,ITMN_4494JW, 12:15:00,50,10/2/20
"Lor, Kayla",S76400496Z,Metformin_500mg,ITMN_6764XV, 12:15:00,50,10/2/20
"Lor, Kayla",S86117047C,Atenolol_50mg,ITMN_9395IN, 12:15:00,50,10/2/20
"Lor, Kayla",S39663457X,Hydrochlorothiazide_25mg,ITMN_9512HZ, 12:15:00,50,10/2/20
"Lor, Kayla",S68926149V,Enalapril_5mg,ITMN_5938XO, 12:15:00,50,10/2/20
"Olarte, Lessa",S71910692G,Amlodipine_5mg,ITMN_4494JW, 12:45:00,30,10/4/20
"Li, Marylyn",S18138286O,Amlodipine_5mg,ITMN_4494JW, 14:15:00,200,10/4/20
"Terrion, Megan",S30046008A,Amlodipine_5mg,ITMN_4494JW, 13:45:00,30,10/5/20
"Holmes, Haley",S39477791Q,Amlodipine_5mg,ITMN_4494JW, 13:45:00,40,10/6/20
"Pham, David",S44906380I,Amlodipine_5mg,ITMN_4494JW, 11:30:00,50,10/9/20
"Han, Steve",S58438856I,Amlodipine_5mg,ITMN_4494JW, 09:15:00,100,10/9/20
"Khat, Kenneth",S29610691V,Amlodipine_5mg,ITMN_4494JW, 14:00:00,200,10/10/20
"Hoeckel, Grace",S86739677W,Amlodipine_5mg,ITMN_4494JW, 12:15:00,30,10/10/20
"Cockrell, Aishwarya",S39642104E,Amlodipine_5mg,ITMN_4494JW, 11:45:00,100,10/10/20
"Nguyen, Ryan",S36119821G,Amlodipine_5mg,ITMN_4494JW, 14:30:00,200,10/10/20
"Cruz, Joshua",S20164973H,Amlodipine_5mg,ITMN_4494JW, 13:15:00,30,10/11/20
"Sheldon, Allicia",S41420353K,Amlodipine_5mg,ITMN_4494JW, 13:15:00,200,10/11/20
"Chain, Yichen",S01899245D,Amlodipine_5mg,ITMN_4494JW, 15:30:00,50,10/11/20
"Jenks, Jennifer",S13997293W,Amlodipine_5mg,ITMN_4494JW, 09:30:00,40,10/12/20
"Iantorno, Shaina",S24244313T,Amlodipine_5mg,ITMN_4494JW, 16:00:00,50,10/12/20
"Ello, Andrew",S17838502M,Amlodipine_5mg,ITMN_4494JW, 11:45:00,30,10/13/20
"Le, Lucy",S73774584Z,Amlodipine_5mg,ITMN_4494JW, 16:30:00,30,10/13/20
"Takahashi, Akil",S77671928V,Amlodipine_5mg,ITMN_4494JW, 10:00:00,100,10/13/20
"Tanicala, Xengsu",S67919057R,Amlodipine_5mg,ITMN_4494JW, 14:15:00,50,10/13/20
"Kim, Sammie",S51544944V,Amlodipine_5mg,ITMN_4494JW, 11:00:00,200,10/13/20
"Moore, Phillip",S49224521D,Amlodipine_5mg,ITMN_4494JW, 09:30:00,40,10/13/20
"Xue, Kin",S18208300M,Amlodipine_5mg,ITMN_4494JW, 12:30:00,100,10/14/20
"Jones, Meng",S74950761W,Amlodipine_5mg,ITMN_4494JW, 15:30:00,100,10/14/20
"Malmsbury, Jullienne Noelle",S44826833G,Amlodipine_5mg,ITMN_4494JW, 14:00:00,200,10/14/20
"Lopez, Kevin",S42644494Z,Amlodipine_5mg,ITMN_4494JW, 09:00:00,50,10/15/20
"Nguyen, Ayush",S21015412B,Amlodipine_5mg,ITMN_4494JW, 10:00:00,30,10/16/20
"Nguyen, Ayush",S21015412B,Metformin_500mg,ITMN_6764XV, 10:00:00,90,10/16/20
"Nguyen, Ayush",S21015412B,Atenolol_50mg,ITMN_9395IN, 10:00:00,30,10/16/20
"Nguyen, Ayush",S21015412B,Hydrochlorothiazide_25mg,ITMN_9512HZ, 10:00:00,30,10/16/20
"Headlee, Sungchoul",S07100539L,Amlodipine_5mg,ITMN_4494JW, 09:00:00,200,10/19/20
"Pielsticker, Donald",S01013127D,Amlodipine_5mg,ITMN_4494JW, 14:45:00,200,10/19/20
"Rivera, Kevin",S05952203J,Amlodipine_5mg,ITMN_4494JW, 10:00:00,100,10/19/20
"Tsen, Neil",S75976155Y,Amlodipine_5mg,ITMN_4494JW, 12:15:00,40,10/20/20
"Salh, Derrick",S90833824X,Amlodipine_5mg,ITMN_4494JW, 14:30:00,100,10/21/20
"Mossholder, Bethany",S88285656C,Amlodipine_5mg,ITMN_4494JW, 16:30:00,40,10/22/20
"Patel, Erica",S15051229N,Amlodipine_5mg,ITMN_4494JW, 10:15:00,50,10/22/20
"Dai, Kylin",S72611756I,Amlodipine_5mg,ITMN_4494JW, 10:30:00,40,10/23/20
"Strader, Cheyenne",S21741738L,Amlodipine_5mg,ITMN_4494JW, 10:45:00,200,10/23/20
"Prasad, Abhishekha",S12268493X,Amlodipine_5mg,ITMN_4494JW, 09:30:00,50,10/24/20
"Choi, Alan",S58680394V,Amlodipine_5mg,ITMN_4494JW, 15:15:00,200,10/24/20
"Ung, Toshio",S24459137D,Amlodipine_5mg,ITMN_4494JW, 14:15:00,30,10/24/20
"Lopez, Andrew",S90348151D,Amlodipine_5mg,ITMN_4494JW, 14:15:00,30,10/26/20
"Yang, Thanh",S53396573W,Amlodipine_5mg,ITMN_4494JW, 09:00:00,40,10/26/20
"Goodfellow, Rebecca",S80931240N,Amlodipine_5mg,ITMN_4494JW, 15:45:00,50,10/26/20
"Le, Cody",S34625855K,Amlodipine_5mg,ITMN_4494JW, 12:00:00,30,10/26/20
"Vargas, Chasity",S73339813U,Atenolol_50mg,ITMN_9395IN, 09:00:00,200,9/27/20
"Chommala, Johnaton",S28189348S,Atenolol_50mg,ITMN_9395IN, 15:45:00,30,9/29/20
"Morford, Tailun",S82344335G,Atenolol_50mg,ITMN_9395IN, 14:00:00,30,9/29/20
"Hrelja, Sara",S69814405K,Atenolol_50mg,ITMN_9395IN, 12:30:00,50,9/30/20
"Alvarez, Sayan",S60039498J,Atenolol_50mg,ITMN_9395IN, 09:30:00,50,10/1/20
"Chuong, Terry",S37764687Q,Atenolol_50mg,ITMN_9395IN, 09:00:00,100,10/2/20
"Pritchett, Shi Hyung",S69176852X,Atenolol_50mg,ITMN_9395IN, 14:45:00,200,10/2/20
"Vang, Balkarn",S42889268U,Atenolol_50mg,ITMN_9395IN, 14:30:00,100,10/2/20
"Geivett, David",S97461658G,Atenolol_50mg,ITMN_9395IN, 12:45:00,100,10/3/20
"Kakinari, Jason",S94289904D,Atenolol_50mg,ITMN_9395IN, 13:00:00,40,10/4/20
"Nguyen-Huynh, Jennie",S47924687V,Atenolol_50mg,ITMN_9395IN, 10:45:00,50,10/4/20
"Vang, Jessica",S24469755O,Atenolol_50mg,ITMN_9395IN, 09:15:00,50,10/4/20
"Barbour, James",S15220396Q,Atenolol_50mg,ITMN_9395IN, 12:00:00,50,10/5/20
"Barbour, James",S15220396Q,Hydrochlorothiazide_25mg,ITMN_9512HZ, 12:00:00,50,10/5/20
"Barbour, James",S15220396Q,Enalapril_5mg,ITMN_5938XO, 12:00:00,50,10/5/20
"Schwartz, Tristan",S32928674Z,Atenolol_50mg,ITMN_9395IN, 10:15:00,100,10/7/20
"Le, Dennis",S38973886D,Atenolol_50mg,ITMN_9395IN, 12:30:00,40,10/8/20
"Shrestha, Natalie",S77124440K,Atenolol_50mg,ITMN_9395IN, 10:45:00,30,10/8/20
"Ngo, Kayanna",S86614171S,Atenolol_50mg,ITMN_9395IN, 16:15:00,200,10/9/20
"Bhartiya, Barinder",S62301408B,Atenolol_50mg,ITMN_9395IN, 16:15:00,40,10/11/20
"Kim, Bu Sun",S10042607N,Atenolol_50mg,ITMN_9395IN, 11:00:00,30,10/12/20
"Joh, Ji Young",S25802001G,Atenolol_50mg,ITMN_9395IN, 15:15:00,50,10/12/20
"Peluso, Justin",S61078986L,Atenolol_50mg,ITMN_9395IN, 11:30:00,200,10/12/20
"Yin, Anthony",S74415033U,Atenolol_50mg,ITMN_9395IN, 11:45:00,40,10/13/20
"Lee, Charya",S89764025K,Atenolol_50mg,ITMN_9395IN, 13:00:00,50,10/13/20
"Osborn, Ashley",S58012255L,Atenolol_50mg,ITMN_9395IN, 15:00:00,200,10/13/20
"Do, Miranda",S65656618C,Atenolol_50mg,ITMN_9395IN, 10:30:00,40,10/14/20
"Pohl, Jared",S31349652V,Atenolol_50mg,ITMN_9395IN, 12:15:00,40,10/14/20
"Kim, Qi",S00000000L,Atenolol_50mg,ITMN_9395IN, 16:30:00,100,10/14/20
"Hornbuckle, Anthony",S95234557D,Atenolol_50mg,ITMN_9395IN, 16:45:00,100,10/14/20
"Le, Alicia",S06294765I,Atenolol_50mg,ITMN_9395IN, 15:30:00,50,10/14/20
"Ho, Michael",S77715663O,Atenolol_50mg,ITMN_9395IN, 14:15:00,100,10/15/20
"Lee, Lobad",S16229449O,Atenolol_50mg,ITMN_9395IN, 16:45:00,100,10/15/20
"Abraham, Naren",S99192029V,Atenolol_50mg,ITMN_9395IN, 15:30:00,100,10/16/20
"George, Hana",S94845635R,Atenolol_50mg,ITMN_9395IN, 10:30:00,200,10/17/20
"Chen, Naomi",S04031924V,Atenolol_50mg,ITMN_9395IN, 11:45:00,200,10/17/20
"Cha, Susan",S87716993G,Atenolol_50mg,ITMN_9395IN, 16:00:00,30,10/19/20
"Petrie, Marina",S68180895V,Atenolol_50mg,ITMN_9395IN, 10:00:00,50,10/19/20
"Shen, Vivian",S17154350T,Atenolol_50mg,ITMN_9395IN, 13:45:00,30,10/20/20
"Calo, Yoshi",S39465645R,Atenolol_50mg,ITMN_9395IN, 12:15:00,30,10/20/20
"Herold, Jeffrey",S64203319L,Atenolol_50mg,ITMN_9395IN, 16:00:00,200,10/21/20
"Truong, Duy",S98445650Z,Atenolol_50mg,ITMN_9395IN, 15:30:00,40,10/21/20
"Briggs, Suzannah",S14778209E,Atenolol_50mg,ITMN_9395IN, 10:00:00,200,10/22/20
"Kang, Emily",S20041846I,Atenolol_50mg,ITMN_9395IN, 16:45:00,100,10/23/20
"Pierce, Vy",S98676244U,Atenolol_50mg,ITMN_9395IN, 15:00:00,200,10/24/20
"Modi, Angela",S37685917G,Atenolol_50mg,ITMN_9395IN, 09:15:00,40,10/24/20
"Modi, Angela",S37685917G,Hydrochlorothiazide_25mg,ITMN_9512HZ, 09:15:00,40,10/24/20
"Modi, Angela",S37685917G,Enalapril_5mg,ITMN_5938XO, 09:15:00,40,10/24/20
"Szeto, Shan",S01391429D,Atenolol_50mg,ITMN_9395IN, 13:30:00,40,10/24/20
"Idris, Skyeler",S49781652E,Atenolol_50mg,ITMN_9395IN, 10:30:00,30,10/24/20
"Lam, Kristen",S18794472O,Atenolol_50mg,ITMN_9395IN, 14:00:00,40,10/25/20
"Durgan, Cathy",S83094553W,Atenolol_50mg,ITMN_9395IN, 13:45:00,30,10/25/20
"Callahan, Casie",S10756503Q,Atenolol_50mg,ITMN_9395IN, 12:45:00,30,10/25/20
"Nguyen, Stephanie",S84225632Q,Atenolol_50mg,ITMN_9395IN, 14:00:00,200,10/26/20
"Patel, Nelson",S62384346P,Atenolol_50mg,ITMN_9395IN, 11:15:00,30,10/26/20
"Thao, Jenny",S99578281Y,Atenolol_50mg,ITMN_9395IN, 14:45:00,40,9/27/20
"Nguyen, Michelle",S41004511W,Atenolol_50mg,ITMN_9395IN, 10:00:00,100,9/27/20
"Goodfellow, Emily",S49477792D,Atenolol_50mg,ITMN_9395IN, 09:15:00,40,9/29/20
"Ahsan, Jonathan",S11353345E,Atenolol_50mg,ITMN_9395IN, 16:15:00,100,9/29/20
"Ahsan, Jonathan",S11353345E,Hydrochlorothiazide_25mg,ITMN_9512HZ, 16:15:00,100,9/29/20
"Ahsan, Jonathan",S11353345E,Enalapril_5mg,ITMN_5938XO, 16:15:00,100,9/29/20
"Noon, Nhi",S62327416R,Atenolol_50mg,ITMN_9395IN, 13:00:00,200,9/30/20
"Marks, Yee Joo",S46024848E,Atenolol_50mg,ITMN_9395IN, 15:15:00,200,10/1/20
"Loyan, Sylvia",S26110331O,Atenolol_50mg,ITMN_9395IN, 11:30:00,100,10/1/20
"Motazedi, Kevin",S15840466D,Atenolol_50mg,ITMN_9395IN, 16:45:00,40,10/1/20
"Lor, Ann",S29283807Y,Atenolol_50mg,ITMN_9395IN, 13:30:00,200,10/2/20
"Rohrbach, Miles",S90770966E,Atenolol_50mg,ITMN_9395IN, 12:30:00,30,10/3/20
"Dadabhoy, Sung",S66766246D,Atenolol_50mg,ITMN_9395IN, 13:15:00,40,10/5/20
"Causey, Victoria",S13164430S,Atenolol_50mg,ITMN_9395IN, 15:00:00,200,10/5/20
"Shrestha, Kaine",S32881616B,Atenolol_50mg,ITMN_9395IN, 11:15:00,100,10/5/20
"Zhao, Brandon",S83240810R,Atenolol_50mg,ITMN_9395IN, 11:30:00,30,10/5/20
"Zhao, Brandon",S83240810R,Hydrochlorothiazide_25mg,ITMN_9512HZ, 11:30:00,30,10/5/20
"Zhao, Brandon",S83240810R,Enalapril_5mg,ITMN_5938XO, 11:30:00,30,10/5/20
"Terahara, Johnathan",S76965910G,Atenolol_50mg,ITMN_9395IN, 12:15:00,100,10/7/20
"Hang, Benjamin",S38852348E,Atenolol_50mg,ITMN_9395IN, 12:30:00,200,10/8/20
"Koester, Neari",S89425845K,Atenolol_50mg,ITMN_9395IN, 11:45:00,50,10/8/20
"Sudaria, Yichen",S83482651G,Atenolol_50mg,ITMN_9395IN, 13:30:00,40,10/8/20
"Lo, Dang",S83639340A,Atenolol_50mg,ITMN_9395IN, 12:45:00,50,10/9/20
"Kim, Michael",S77173721I,Atenolol_50mg,ITMN_9395IN, 12:00:00,30,10/9/20
"Her, Aman",S62535525D,Atenolol_50mg,ITMN_9395IN, 14:00:00,100,10/9/20
"Lam, Yu Shen",S39717211B,Atenolol_50mg,ITMN_9395IN, 16:15:00,200,10/9/20
"Lam, Yu Shen",S39717211B,Amlodipine_5mg,ITMN_4494JW, 16:15:00,200,10/9/20
"Lam, Yu Shen",S39717211B,Metformin_500mg,ITMN_6764XV, 16:15:00,200,10/9/20
"Lam, Yu Shen",S39717211B,Hydrochlorothiazide_25mg,ITMN_9512HZ, 16:15:00,200,10/9/20
"Lam, Yu Shen",S39717211B,Enalapril_5mg,ITMN_5938XO, 16:15:00,200,10/9/20
"Palagati, Thomas",S80184923S,Atenolol_50mg,ITMN_9395IN, 16:45:00,50,10/13/20
"Pham, Chimmoua",S32346236D,Atenolol_50mg,ITMN_9395IN, 11:30:00,200,10/13/20
"Xu, Phurba",S07688327J,Atenolol_50mg,ITMN_9395IN, 15:30:00,100,10/14/20
"Yang, Bryanna",S68185118U,Atenolol_50mg,ITMN_9395IN, 13:00:00,200,10/14/20
"Aghi, Juliette",S03356602M,Atenolol_50mg,ITMN_9395IN, 12:15:00,100,10/14/20
"Bonath, Calvin",S28927719I,Atenolol_50mg,ITMN_9395IN, 12:30:00,50,10/15/20
"Pham, Michael",S59559042Y,Atenolol_50mg,ITMN_9395IN, 14:00:00,50,10/15/20
"Bui, Pratheeksha",S05209750J,Atenolol_50mg,ITMN_9395IN, 13:15:00,50,10/15/20
"Le, Qin Qin",S16197101Z,Atenolol_50mg,ITMN_9395IN, 11:00:00,30,10/15/20
"Sher, Vincent",S55434913P,Atenolol_50mg,ITMN_9395IN, 11:15:00,100,10/15/20
"Hannig, Ka",S29360350S,Atenolol_50mg,ITMN_9395IN, 13:00:00,200,10/15/20
"Hannig, Ka",S29360350S,Amlodipine_5mg,ITMN_4494JW, 13:00:00,200,10/15/20
"Hannig, Ka",S29360350S,Metformin_500mg,ITMN_6764XV, 13:00:00,200,10/15/20
"Hannig, Ka",S29360350S,Hydrochlorothiazide_25mg,ITMN_9512HZ, 13:00:00,200,10/15/20
"Hannig, Ka",S29360350S,Enalapril_5mg,ITMN_5938XO, 13:00:00,200,10/15/20
"Reddy, Richard",S59486892M,Atenolol_50mg,ITMN_9395IN, 16:15:00,50,10/19/20
"Simon, Angela",S89655313Y,Atenolol_50mg,ITMN_9395IN, 13:45:00,200,10/19/20
"Vu, Saurabh",S45798895B,Atenolol_50mg,ITMN_9395IN, 11:30:00,50,10/20/20
"Vong, Sansom",S95561912F,Atenolol_50mg,ITMN_9395IN, 09:45:00,100,10/20/20
"Nguyen, Sean",S16666706K,Atenolol_50mg,ITMN_9395IN, 09:15:00,100,10/20/20
"Lee, Rianna",S14803644B,Atenolol_50mg,ITMN_9395IN, 11:00:00,40,10/20/20
"Kim, Sydnie",S40817176L,Atenolol_50mg,ITMN_9395IN, 10:15:00,50,10/20/20
"Francin, Valeria",S68137513P,Atenolol_50mg,ITMN_9395IN, 12:45:00,200,10/21/20
"Anderson, Daniel",S54236952W,Atenolol_50mg,ITMN_9395IN, 10:30:00,50,10/23/20
"Anderson, Daniel",S54236952W,Hydrochlorothiazide_25mg,ITMN_9512HZ, 10:30:00,50,10/23/20
"Anderson, Daniel",S54236952W,Enalapril_5mg,ITMN_5938XO, 10:30:00,50,10/23/20
"Somthaboun, Kal",S61090264E,Atenolol_50mg,ITMN_9395IN, 16:30:00,40,10/24/20
"Hirota, Tarah",S30788445I,Atenolol_50mg,ITMN_9395IN, 10:45:00,200,10/25/20
"Lappens, Kawana'Ao",S74112392I,Atenolol_50mg,ITMN_9395IN, 15:00:00,30,10/25/20
"Yu, Jhoemelyn",S02613320L,Atenolol_50mg,ITMN_9395IN, 12:00:00,50,10/26/20
"Long, Huong",S09852499B,Atenolol_50mg,ITMN_9395IN, 09:45:00,30,10/26/20
"Langcauon, Alex",S23712826P,Atenolol_50mg,ITMN_9395IN, 13:45:00,40,10/26/20
"Perkins, Karlee",S48789258G,Atenolol_50mg,ITMN_9395IN, 16:30:00,30,10/26/20
"Chong, Bao",S88308955C,Doxycycline_100mg,ITMN_2373LN, 09:30:00,200,9/27/20
"Tanghal, Mark",S51850613U,Doxycycline_100mg,ITMN_2373LN, 16:30:00,40,9/27/20
"Nguyen, Kazuo",S56037979Z,Doxycycline_100mg,ITMN_2373LN, 13:45:00,200,9/27/20
"Needham, Yin Lin",S55654196O,Doxycycline_100mg,ITMN_2373LN, 13:45:00,30,9/28/20
"Moua, Nkaujzoo",S78003986W,Doxycycline_100mg,ITMN_2373LN, 12:00:00,200,9/28/20
"Do, Charlene",S20655094V,Metformin_850mg,ITMN_2578SY, 09:30:00,30,9/29/20
"Lowe, Carl",S48935397B,Metformin_850mg,ITMN_2578SY, 14:30:00,200,9/29/20
"Delosreyes, Sarfaraz",S42763121L,Metformin_850mg,ITMN_2578SY, 12:00:00,50,9/29/20
"Lam, Tobby",S81928919R,Metformin_850mg,ITMN_2578SY, 15:45:00,30,9/29/20
"Gamage, Keosomalee",S57618477B,Metformin_850mg,ITMN_2578SY, 10:15:00,200,9/29/20
"Nguyen, Ritika",S60957093X,Metformin_850mg,ITMN_2578SY, 13:45:00,50,9/30/20
"Xiong, Jamie",S84756622K,Doxycycline_100mg,ITMN_2373LN, 09:45:00,40,10/1/20
"Lao, Seth-Mitchell",S86774766Z,Doxycycline_100mg,ITMN_2373LN, 15:00:00,100,10/1/20
"Park, Anna",S89808881B,Doxycycline_100mg,ITMN_2373LN, 15:45:00,100,10/1/20
"Tran, Kristin",S64323330L,Doxycycline_100mg,ITMN_2373LN, 16:15:00,200,10/1/20
"Ramkumar, Do",S99448824L,Doxycycline_100mg,ITMN_2373LN, 10:45:00,50,10/1/20
"Situmeang, Shannon",S96513638J,Doxycycline_100mg,ITMN_2373LN, 13:15:00,30,10/1/20
"Weinberg, Keaton",S92049180H,Doxycycline_100mg,ITMN_2373LN, 16:30:00,30,10/1/20
"Donthinani, Hailey",S79533203Z,Doxycycline_100mg,ITMN_2373LN, 15:00:00,40,10/2/20
"Joh, Ji Young",S25802001G,Doxycycline_100mg,ITMN_2373LN, 12:45:00,30,10/3/20
"Ulziibat, Vi",S77807034D,Doxycycline_100mg,ITMN_2373LN, 15:00:00,40,10/3/20
"Klutke, Huong",S91999824U,Doxycycline_100mg,ITMN_2373LN, 10:00:00,40,10/3/20
"Kang, Grace",S60513118J,Doxycycline_100mg,ITMN_2373LN, 13:15:00,200,10/3/20
"Lu, Rathana",S20897615L,Doxycycline_100mg,ITMN_2373LN, 09:15:00,50,10/3/20
"Sandoval, Benjamin",S22226650G,Doxycycline_100mg,ITMN_2373LN, 11:15:00,30,10/4/20
"Hang, Samiha",S74251605Q,Doxycycline_100mg,ITMN_2373LN, 15:45:00,40,10/4/20
"Lee, Jasper",S58834331C,Doxycycline_100mg,ITMN_2373LN, 14:15:00,30,10/5/20
"Widiger, Anh",S65814371R,Doxycycline_100mg,ITMN_2373LN, 09:30:00,30,10/6/20
"Phommaxahane, Jessica",S31553071C,Doxycycline_100mg,ITMN_2373LN, 13:15:00,30,10/6/20
"Khuu, Vandross",S02991958C,Doxycycline_100mg,ITMN_2373LN, 11:45:00,100,10/6/20
