Name,NRIC,medications,item_code,quantity,Date
"Zou, Jenny",S91608670O,Paracetamol_500mg,ITMN_0539LV,200,2020-08-19
"Lau, Isabella",S15615568N,Doxycycline_100mg,ITMN_7836AV,40,2020-08-19
"Sharma, Nancy",S83856045D,Paracetamol_500mg,ITMN_0539LV,40,2020-08-19
"Pham, Hyun Soo",S09151216C,Amlodipine_5mg,ITMN_9928QN,100,2020-08-20
"Nguyen, Jazmyn",S20270764I,Metformin_850mg,ITMN_4591ZY,40,2020-08-20
"Pham, Leilani",S27226454R,Doxycycline_100mg,ITMN_7836AV,200,2020-08-20
"Doan, Sharon",S65278657Z,Doxycycline_100mg,ITMN_7836AV,40,2020-08-20
"Raval, Ada",S41947088Q,Atenolol_50mg,ITMN_9249ZD,30,2020-08-20
"Mattern, Christian",S34959330M,Paracetamol_500mg,ITMN_0539LV,30,2020-08-20
"Hsu, Zheng",S31580778H,Metformin_850mg,ITMN_4591ZY,30,2020-08-20
"Shafer, Tad",S19663285X,Atenolol_50mg,ITMN_9249ZD,200,2020-08-20
"Jenkins, Desiree",S62864107C,Atenolol_50mg,ITMN_9249ZD,40,2020-08-20
"Huliganga, Kieu",S01969382M,Doxycycline_100mg,ITMN_7836AV,200,2020-08-21
"Trujillo, Jessica",S17521036E,Metformin_500mg,ITMN_7167LS,200,2020-08-21
"Chan, Ritika",S00183085V,Atenolol_50mg,ITMN_9249ZD,30,2020-08-21
"Nagai, Prisha",S27126864X,Metformin_500mg,ITMN_7167LS,100,2020-08-21
"Nguyen, Alexander",S21090856N,Metformin_850mg,ITMN_4591ZY,40,2020-08-21
"Torres, Daeun",S13264073R,Doxycycline_100mg,ITMN_7836AV,50,2020-08-21
"Kim, Jiali",S34512818O,Atenolol_50mg,ITMN_9249ZD,30,2020-08-21
"Kingrasaphone, Kinsey",S31990826M,Doxycycline_100mg,ITMN_7836AV,200,2020-08-21
"Oh, Ryan",S77797457Y,Amlodipine_5mg,ITMN_9928QN,100,2020-08-21
"Freeman, Lesley",S03825195V,Amlodipine_5mg,ITMN_9928QN,40,2020-08-22
"Ng, Edna",S14910153O,Metformin_850mg,ITMN_4591ZY,50,2020-08-22
"Vongphackdy, Kevin",S89222111S,Metformin_850mg,ITMN_4591ZY,200,2020-08-22
"Pham, Ganbayar",S69038237A,Amlodipine_5mg,ITMN_9928QN,40,2020-08-22
"Tran, Abigail",S36289491P,Metformin_500mg,ITMN_7167LS,30,2020-08-22
"Yasumura, Aishwarya",S90479791I,Doxycycline_100mg,ITMN_7836AV,30,2020-08-22
"Yachai, Dylan",S32189134K,Metformin_850mg,ITMN_4591ZY,100,2020-08-22
"Shepard, Kevin",S88476799Z,Paracetamol_500mg,ITMN_0539LV,40,2020-08-22
"Chidambaram, Josefa",S59996104A,Metformin_850mg,ITMN_4591ZY,200,2020-08-22
"Kajiwara, Linh",S66860884C,Metformin_850mg,ITMN_4591ZY,200,2020-08-22
"Chukkapalli, Teal",S88198458V,Metformin_500mg,ITMN_7167LS,200,2020-08-23
"Beehler, Kevin",S27469515R,Atenolol_50mg,ITMN_9249ZD,30,2020-08-23
"Nguyen, Jennifer",S39506861Z,Metformin_850mg,ITMN_4591ZY,30,2020-08-23
"Chotinun, Rhema",S91796740A,Metformin_500mg,ITMN_7167LS,30,2020-08-24
"Lee, Siyang",S31221804I,Doxycycline_100mg,ITMN_7836AV,40,2020-08-24
"Patel, Monique",S20270764I,Doxycycline_100mg,ITMN_7836AV,50,2020-08-24
"Steinke, Meagan",S77797457Y,Amlodipine_5mg,ITMN_9928QN,30,2020-08-24
"Le, Sheila",S11530834J,Metformin_850mg,ITMN_4591ZY,200,2020-08-24
"Bui, Hanna",S21566962V,Atenolol_50mg,ITMN_9249ZD,50,2020-08-25
"Raab, Thi Mai",S78504976V,Doxycycline_100mg,ITMN_7836AV,40,2020-08-25
"Kim, Christina",S23158761W,Metformin_850mg,ITMN_4591ZY,40,2020-08-25
"Do, Megan",S94149950H,Metformin_850mg,ITMN_4591ZY,30,2020-08-25
"Chea, Cindy",S69656973K,Metformin_850mg,ITMN_4591ZY,200,2020-08-25
"Kim, Sang Kyun",S38400264L,Doxycycline_100mg,ITMN_7836AV,200,2020-08-25
"Shrestha, Yeon",S92812261Q,Metformin_850mg,ITMN_4591ZY,100,2020-08-25
"Chen, Jessica",S46492479U,Metformin_850mg,ITMN_4591ZY,30,2020-08-25
"Hoang, John",S76039235G,Metformin_850mg,ITMN_4591ZY,40,2020-08-26
"Myers, Steve",S21563190P,Metformin_500mg,ITMN_7167LS,200,2020-08-26
"Luftig, Truong",S86899032N,Atenolol_50mg,ITMN_9249ZD,200,2020-08-26
"Billingsley, Emily Olivia",S70934953Q,Doxycycline_100mg,ITMN_7836AV,30,2020-08-26
"Farley, Navya",S81686385M,Metformin_850mg,ITMN_4591ZY,50,2020-08-26
"Desseaux, Olivia",S66290239P,Doxycycline_100mg,ITMN_7836AV,50,2020-08-27
"Conklin, Scott",S35141045M,Atenolol_50mg,ITMN_9249ZD,200,2020-08-27
"Kirkwood, Lianne",S70934953Q,Metformin_500mg,ITMN_7167LS,40,2020-08-27
"Aviado, Garrett",S21090856N,Paracetamol_500mg,ITMN_0539LV,100,2020-08-27
"Aryal, Nicholas",S29565775H,Metformin_850mg,ITMN_4591ZY,50,2020-08-27
"Arellano, Hui",S73595428M,Paracetamol_500mg,ITMN_0539LV,100,2020-08-27
"Shaffer, Tyler",S39814914C,Metformin_500mg,ITMN_7167LS,50,2020-08-27
"Lor, Emily",S98164668L,Atenolol_50mg,ITMN_9249ZD,200,2020-08-27
"Jones, Tanner",S62864107C,Atenolol_50mg,ITMN_9249ZD,30,2020-08-27
"Choi, Michell",S39147244L,Doxycycline_100mg,ITMN_7836AV,40,2020-08-27
"Phamvan, Melissa",S34843794R,Amlodipine_5mg,ITMN_9928QN,50,2020-08-28
"Altman, Mun",S51009372U,Metformin_850mg,ITMN_4591ZY,30,2020-08-28
"Beck-Alper, Winston",S30642300Y,Doxycycline_100mg,ITMN_7836AV,50,2020-08-28
"Swanson, Jun-Wo",S69656973K,Paracetamol_500mg,ITMN_0539LV,100,2020-08-28
"Pham, Lindsey",S50178304C,Paracetamol_500mg,ITMN_0539LV,100,2020-08-29
"Li, Michelle",S29891589X,Metformin_850mg,ITMN_4591ZY,30,2020-08-29
"Nguyen, Nalani",S10813701J,Amlodipine_5mg,ITMN_9928QN,40,2020-08-29
"Li, Bailey",S24313575H,Metformin_500mg,ITMN_7167LS,30,2020-08-29
"Balagot, Mohammad",S95876072D,Atenolol_50mg,ITMN_9249ZD,200,2020-08-29
"Simmons, Julie",S89300410U,Paracetamol_500mg,ITMN_0539LV,50,2020-08-30
"Kwak, Michio",S33936437U,Metformin_850mg,ITMN_4591ZY,100,2020-08-30
"Pak, David",S89675480W,Amlodipine_5mg,ITMN_9928QN,100,2020-08-30
"Xiong, Jae",S03794694S,Metformin_500mg,ITMN_7167LS,30,2020-08-30
"Van, Omar",S91162819L,Amlodipine_5mg,ITMN_9928QN,100,2020-08-30
"Rubio, Timothy",S83856045D,Atenolol_50mg,ITMN_9249ZD,30,2020-08-30
"Ferreira, Kylie",S98164668L,Paracetamol_500mg,ITMN_0539LV,30,2020-08-30
"Kim, Jason",S02464763N,Atenolol_50mg,ITMN_9249ZD,200,2020-08-30
"Stevens, Brandon",S85414288V,Doxycycline_100mg,ITMN_7836AV,50,2020-08-30
"Shaddrick, Nadir",S57671574Z,Metformin_850mg,ITMN_4591ZY,50,2020-08-30
"Blackmer, Kyle",S06644177M,Amlodipine_5mg,ITMN_9928QN,30,2020-08-30
"Winklmann, Joseph",S09171417U,Amlodipine_5mg,ITMN_9928QN,30,2020-08-30
"Wright, Natasha",S71038808M,Doxycycline_100mg,ITMN_7836AV,200,2020-08-30
"Clarin, Slesha",S23140851W,Atenolol_50mg,ITMN_9249ZD,30,2020-08-31
"Fontillas, Isabel",S31990826M,Amlodipine_5mg,ITMN_9928QN,30,2020-08-31
"Deyoung, Angelina",S55822338L,Metformin_500mg,ITMN_7167LS,100,2020-08-31
"Chen, Ashley",S44556865R,Metformin_500mg,ITMN_7167LS,200,2020-08-31
"Garrels, Nicole",S05829401Y,Atenolol_50mg,ITMN_9249ZD,50,2020-08-31
"Williams, Brett",S56374218K,Amlodipine_5mg,ITMN_9928QN,40,2020-08-31
"Nguyen, Johney",S71538775M,Metformin_500mg,ITMN_7167LS,200,2020-08-31
"Sniff, Amy",S89675480W,Atenolol_50mg,ITMN_9249ZD,100,2020-08-31
"Cali, Nhu",S70181728A,Metformin_850mg,ITMN_4591ZY,30,2020-08-31
"Pallan, Khulan",S14910153O,Metformin_850mg,ITMN_4591ZY,40,2020-08-31
"Ho, Jin Hee",S74577522Q,Amlodipine_5mg,ITMN_9928QN,200,2020-08-31
"Narangerel, Christian",S99317428D,Metformin_850mg,ITMN_4591ZY,50,2020-08-31
"Tumur, Nino Alfonso",S52919720S,Metformin_850mg,ITMN_4591ZY,40,2020-08-31
"Oyama, Hoang",S11530834J,Atenolol_50mg,ITMN_9249ZD,100,2020-09-01
"Hopkins, Michiyo",S69731322U,Paracetamol_500mg,ITMN_0539LV,30,2020-09-01
"Mattamana, David",S64322430W,Atenolol_50mg,ITMN_9249ZD,200,2020-09-01
"Kobayashi, Miromar",S18588303K,Amlodipine_5mg,ITMN_9928QN,30,2020-09-01
"Yamamoto, Tony",S44093436P,Metformin_850mg,ITMN_4591ZY,40,2020-09-01
"Teawdatwan, Alex",S04478170F,Doxycycline_100mg,ITMN_7836AV,50,2020-09-01
"Geraldo, Eun",S31580778H,Amlodipine_5mg,ITMN_9928QN,30,2020-09-01
"Li, Tony",S78489806L,Paracetamol_500mg,ITMN_0539LV,30,2020-09-01
"Chung, Victoria",S58171729L,Metformin_500mg,ITMN_7167LS,30,2020-09-01
"Nguyen, Liah",S51677226T,Doxycycline_100mg,ITMN_7836AV,200,2020-09-02
"Rodrukkwun, Maria",S88940934O,Doxycycline_100mg,ITMN_7836AV,50,2020-09-02
"Mapa, Liny",S59271872E,Metformin_850mg,ITMN_4591ZY,40,2020-09-02
"Nguyen, Bao Vi",S66860884C,Amlodipine_5mg,ITMN_9928QN,100,2020-09-02
"Fischer, Long",S03794694S,Doxycycline_100mg,ITMN_7836AV,100,2020-09-02
"Gary, William",S80457130A,Paracetamol_500mg,ITMN_0539LV,40,2020-09-02
"Bonhoure, Parth",S76039235G,Paracetamol_500mg,ITMN_0539LV,50,2020-09-02
"Shawish, Velma",S91608670O,Doxycycline_100mg,ITMN_7836AV,50,2020-09-02
"Kim, Tuan",S33936437U,Metformin_850mg,ITMN_4591ZY,40,2020-09-02
"Pohl, Matthew",S19663285X,Doxycycline_100mg,ITMN_7836AV,40,2020-09-03
"Miyagi, Ganbayar",S46492479U,Atenolol_50mg,ITMN_9249ZD,30,2020-09-03
"Zhang, Trisha",S94149950H,Atenolol_50mg,ITMN_9249ZD,40,2020-09-03
"Tangri, Amy",S26859057C,Amlodipine_5mg,ITMN_9928QN,40,2020-09-03
"Billingsley, Nicholas",S74474192Q,Paracetamol_500mg,ITMN_0539LV,200,2020-09-03
"Philip, Ka Lok",S88940934O,Paracetamol_500mg,ITMN_0539LV,30,2020-09-03
"Chaudhry, Alex",S86341288Z,Metformin_850mg,ITMN_4591ZY,50,2020-09-04
"Nguyen, Jennifer",S73595428M,Metformin_850mg,ITMN_4591ZY,30,2020-09-04
"Yim, Lynel",S17612501T,Metformin_500mg,ITMN_7167LS,200,2020-09-04
"Murray, Setu",S89222111S,Doxycycline_100mg,ITMN_7836AV,100,2020-09-04
"Lam, Emily",S00183085V,Paracetamol_500mg,ITMN_0539LV,200,2020-09-05
"Lee, Roget",S73643703H,Paracetamol_500mg,ITMN_0539LV,40,2020-09-05
"Rusta, Haifu",S16029108N,Metformin_850mg,ITMN_4591ZY,30,2020-09-05
"Vue, Jeremy",S27469515R,Metformin_500mg,ITMN_7167LS,200,2020-09-05
"Geras, Haley",S90542399Z,Atenolol_50mg,ITMN_9249ZD,50,2020-09-05
"Mafi, Kezia",S71278517C,Metformin_500mg,ITMN_7167LS,200,2020-09-05
"Saito, Dante Alessandr",S78456016C,Metformin_500mg,ITMN_7167LS,50,2020-09-05
"Giang, Ichiko",S37358430K,Doxycycline_100mg,ITMN_7836AV,30,2020-09-06
"Mccoy, Vikash",S99009191H,Atenolol_50mg,ITMN_9249ZD,200,2020-09-06
"Rounds, Ryan",S17011550D,Paracetamol_500mg,ITMN_0539LV,200,2020-09-06
"Ko, Aaron",S37737898E,Paracetamol_500mg,ITMN_0539LV,40,2020-09-06
"Nguyen, Lee",S52470998P,Metformin_500mg,ITMN_7167LS,200,2020-09-06
"Smith, Alex",S36289491P,Atenolol_50mg,ITMN_9249ZD,100,2020-09-06
"Nguyen, Jason",S39147244L,Metformin_500mg,ITMN_7167LS,100,2020-09-06
"Fluetsch, Anthony",S53084134R,Amlodipine_5mg,ITMN_9928QN,50,2020-09-06
"Balan, Alexander",S02464763N,Amlodipine_5mg,ITMN_9928QN,30,2020-09-06
"Lee, Kelsey",S47949599N,Metformin_850mg,ITMN_4591ZY,100,2020-09-06
"Yu, Michelle",S72977539N,Paracetamol_500mg,ITMN_0539LV,100,2020-09-06
"Agsam, Hmohngchee",S00459408K,Atenolol_50mg,ITMN_9249ZD,40,2020-09-06
"Xiong, Lebon",S24666723M,Metformin_850mg,ITMN_4591ZY,200,2020-09-06
"Vue, Tina",S52919720S,Paracetamol_500mg,ITMN_0539LV,200,2020-09-06
"Do, Patrick",S40655648K,Doxycycline_100mg,ITMN_7836AV,40,2020-09-06
"Baker, Weslee",S19083495Q,Amlodipine_5mg,ITMN_9928QN,30,2020-09-06
"Cleveland, Leah",S96164878Q,Doxycycline_100mg,ITMN_7836AV,100,2020-09-06
"Johnston, Joshua",S49629396E,Amlodipine_5mg,ITMN_9928QN,40,2020-09-06
"Bhattarai, Tony",S39943069V,Amlodipine_5mg,ITMN_9928QN,200,2020-09-07
"Lor, Kiana",S01969382M,Metformin_500mg,ITMN_7167LS,100,2020-09-07
"Chang, Sanjay",S94811206A,Atenolol_50mg,ITMN_9249ZD,200,2020-09-07
"Khan, Nicolas",S39797260I,Metformin_500mg,ITMN_7167LS,100,2020-09-07
"Hemphill, Justin",S90852147Y,Metformin_500mg,ITMN_7167LS,50,2020-09-07
"Reynolds, Joshua",S78611628I,Paracetamol_500mg,ITMN_0539LV,30,2020-09-07
"Lee, Zolboo",S75892170Z,Metformin_850mg,ITMN_4591ZY,200,2020-09-08
"Naranchuluun, Jeffrey",S40210919J,Amlodipine_5mg,ITMN_9928QN,50,2020-09-08
"Atkinson, Mike",S91876853X,Doxycycline_100mg,ITMN_7836AV,50,2020-09-08
"Engelhart, Tony",S00791429O,Amlodipine_5mg,ITMN_9928QN,30,2020-09-08
"Odollil, Ze-Ching",S31934236T,Atenolol_50mg,ITMN_9249ZD,30,2020-09-08
"Pham, Isaac",S69731322U,Atenolol_50mg,ITMN_9249ZD,200,2020-09-08
"Endo, Kaylee",S11559271G,Metformin_850mg,ITMN_4591ZY,40,2020-09-08
"Nguyen, Kyle",S86269425T,Metformin_500mg,ITMN_7167LS,30,2020-09-08
"Bhagria, Salamasina",S18691285D,Doxycycline_100mg,ITMN_7836AV,100,2020-09-08
"Thao, Hadia",S88397839D,Atenolol_50mg,ITMN_9249ZD,30,2020-09-08
"Serrano, Samantha",S29565775H,Metformin_500mg,ITMN_7167LS,200,2020-09-08
"Mcelwreath, Hayley",S16347036R,Amlodipine_5mg,ITMN_9928QN,50,2020-09-08
"Kresge, William",S99290582P,Atenolol_50mg,ITMN_9249ZD,200,2020-09-08
"Hoang, Frank",S86341288Z,Metformin_500mg,ITMN_7167LS,30,2020-09-08
"Oakley, Julia",S99137171Q,Amlodipine_5mg,ITMN_9928QN,200,2020-09-09
"Robinson, Julia",S75520340N,Metformin_500mg,ITMN_7167LS,50,2020-09-09
"Chotinun, Karthik",S91916382H,Amlodipine_5mg,ITMN_9928QN,50,2020-09-09
"Krumland, Samantha",S23140851W,Amlodipine_5mg,ITMN_9928QN,40,2020-09-09
"Stone, Frederick",S29768126I,Amlodipine_5mg,ITMN_9928QN,50,2020-09-09
"Parmar, Joann",S24313575H,Metformin_850mg,ITMN_4591ZY,40,2020-09-09
"Chung, Alison",S10813701J,Doxycycline_100mg,ITMN_7836AV,50,2020-09-09
"Nguyen, Ethan",S27211957K,Metformin_500mg,ITMN_7167LS,30,2020-09-09
"Kantha, Stephanie",S21980587C,Metformin_500mg,ITMN_7167LS,50,2020-09-09
"Lao, Yichen",S05829401Y,Metformin_500mg,ITMN_7167LS,30,2020-09-10
"Noa, Gabriel",S50557472X,Doxycycline_100mg,ITMN_7836AV,200,2020-09-10
"Tran, Angela",S55076157K,Doxycycline_100mg,ITMN_7836AV,200,2020-09-10
"Punay, Christian",S62655933I,Paracetamol_500mg,ITMN_0539LV,30,2020-09-10
"Hanson, Noland",S29291858Q,Paracetamol_500mg,ITMN_0539LV,200,2020-09-10
"Paaga, Franco",S59996104A,Metformin_850mg,ITMN_4591ZY,200,2020-09-10
"Ramsey-White, Matthew",S94593998R,Metformin_500mg,ITMN_7167LS,200,2020-09-10
"Rupp, Alex",S29549270G,Metformin_850mg,ITMN_4591ZY,40,2020-09-10
"Tran, Justin",S83118852R,Paracetamol_500mg,ITMN_0539LV,50,2020-09-11
"Chung, Bao",S88938334D,Metformin_850mg,ITMN_4591ZY,40,2020-09-11
"Shrestha, Thinh",S20239946X,Atenolol_50mg,ITMN_9249ZD,50,2020-09-11
"Knight, Amanda",S97818589T,Paracetamol_500mg,ITMN_0539LV,200,2020-09-11
"Huynh, Kapiolani",S69971194J,Metformin_500mg,ITMN_7167LS,100,2020-09-11
"Nicolopoulos, Marc",S45326309V,Metformin_850mg,ITMN_4591ZY,30,2020-09-11
"Nguyen, Alexander",S16029108N,Metformin_850mg,ITMN_4591ZY,40,2020-09-11
"Hart, Andre",S96043942S,Amlodipine_5mg,ITMN_9928QN,100,2020-09-11
"Cheema, Patrick",S84990073J,Metformin_850mg,ITMN_4591ZY,100,2020-09-11
"Lua, Aaron",S14129505X,Metformin_850mg,ITMN_4591ZY,50,2020-09-11
"Wickham, Alexis",S03875118D,Atenolol_50mg,ITMN_9249ZD,100,2020-09-12
"Truong, Aimee",S82008539Y,Paracetamol_500mg,ITMN_0539LV,50,2020-09-12
"Shen, Oscar",S52750206E,Atenolol_50mg,ITMN_9249ZD,200,2020-09-12
"Mulholland, Joseph",S87711784I,Metformin_850mg,ITMN_4591ZY,40,2020-09-12
"Brower, Nickolas",S65191643K,Metformin_850mg,ITMN_4591ZY,200,2020-09-12
"Ung, Chinguun",S60373093W,Metformin_850mg,ITMN_4591ZY,100,2020-09-12
"Simmons, Naomi",S41876297P,Doxycycline_100mg,ITMN_7836AV,40,2020-09-12
"Srinivasan, Eunice",S01807172S,Atenolol_50mg,ITMN_9249ZD,200,2020-09-12
"Sua, Matthew",S37960862I,Atenolol_50mg,ITMN_9249ZD,100,2020-09-12
"Wakasugi, Peter",S55525710P,Doxycycline_100mg,ITMN_7836AV,40,2020-09-12
"Kim, Matthew",S55822338L,Doxycycline_100mg,ITMN_7836AV,50,2020-09-13
"Alpert, Michael",S76623434Z,Amlodipine_5mg,ITMN_9928QN,40,2020-09-13
"Mousakhani, Alexander",S87681321O,Metformin_500mg,ITMN_7167LS,30,2020-09-13
"Ali, Ryan",S04620287N,Metformin_500mg,ITMN_7167LS,100,2020-09-13
"Ongoy, Angelica",S67296057A,Doxycycline_100mg,ITMN_7836AV,30,2020-09-13
"Wang, Ava",S00304967J,Doxycycline_100mg,ITMN_7836AV,100,2020-09-13
"Prince, Joachim",S15615568N,Paracetamol_500mg,ITMN_0539LV,40,2020-09-13
"Li, Steven",S81587284I,Metformin_500mg,ITMN_7167LS,30,2020-09-13
"Cho, Brian",S71713429P,Atenolol_50mg,ITMN_9249ZD,100,2020-09-13
"Cosentino, Allen",S41266535Z,Paracetamol_500mg,ITMN_0539LV,50,2020-09-13
"Trinh, Yuvorn",S38040009Q,Amlodipine_5mg,ITMN_9928QN,200,2020-09-13
"Dong, Amy",S29056778V,Doxycycline_100mg,ITMN_7836AV,30,2020-09-14
"Pham, Ethan",S06736017L,Atenolol_50mg,ITMN_9249ZD,100,2020-09-14
"Connor, Christopher",S31221804I,Metformin_500mg,ITMN_7167LS,100,2020-09-14
"Manley, Marc",S45633215U,Atenolol_50mg,ITMN_9249ZD,30,2020-09-15
"Xiong, Emily",S47683979J,Metformin_850mg,ITMN_4591ZY,50,2020-09-15
"Zhang, Michael",S72464930F,Doxycycline_100mg,ITMN_7836AV,100,2020-09-15
"Kwan, Keiko",S95876072D,Doxycycline_100mg,ITMN_7836AV,40,2020-09-15
"Kim, Tiffany",S89969715I,Metformin_850mg,ITMN_4591ZY,30,2020-09-15
"Lam, Hallie",S73732222G,Metformin_850mg,ITMN_4591ZY,100,2020-09-15
"Johnson, Cheng Xu",S78456016C,Amlodipine_5mg,ITMN_9928QN,200,2020-09-15
"Liu, Yeen",S38623599H,Paracetamol_500mg,ITMN_0539LV,40,2020-09-15
"Murad, Jordan",S25716183O,Metformin_850mg,ITMN_4591ZY,30,2020-09-15
"Seyfi, Skip",S51186868Y,Amlodipine_5mg,ITMN_9928QN,100,2020-09-15
"Thapa, Nikka",S35141045M,Metformin_500mg,ITMN_7167LS,30,2020-09-16
"Pham, Ann",S54103194G,Doxycycline_100mg,ITMN_7836AV,100,2020-09-16
"Zorigt, Chen",S76567616Y,Amlodipine_5mg,ITMN_9928QN,50,2020-09-16
"Aslami, Beatriz",S38772478L,Amlodipine_5mg,ITMN_9928QN,30,2020-09-16
"Staffieri, Khatlyn",S27110358A,Paracetamol_500mg,ITMN_0539LV,40,2020-09-16
"Li, My",S84564778R,Atenolol_50mg,ITMN_9249ZD,200,2020-09-17
"Sy, Lila",S46617761R,Paracetamol_500mg,ITMN_0539LV,200,2020-09-17
"Kunam, Abhinav",S22563657Q,Amlodipine_5mg,ITMN_9928QN,200,2020-09-17
"Castro Manibusan, Gary",S22874119G,Atenolol_50mg,ITMN_9249ZD,30,2020-09-17
"Lund, Brandon",S82856723J,Paracetamol_500mg,ITMN_0539LV,100,2020-09-17
"Yoon, Aileen",S33611049L,Doxycycline_100mg,ITMN_7836AV,100,2020-09-18
"Hendricks, Warithnant",S52470998P,Doxycycline_100mg,ITMN_7836AV,200,2020-09-18
